Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
1.2570463977566372e-14,0.048764219312884285,3.06982488584014e-12,3.0606475000232008e-25,5.530285160592778e-12,9.505849148953116e-107,3.072568788589469e-12,0.938,1.345279901804742e-54,2.4656459690628718e-12,2.1878853691619096e-35,2.7439027361525473e-15,1.279082575506988e-10,0.0,0.0,0.03123977801483234,0.009999999998767177,0.04999999999446699,2.864802922843404e-68,1.8848120903432278e-71,0.001999999869021918,1.7835176935078576e-111,3.9252455345559805e-77
1.7575622364217085e-14,0.048764219312884285,4.2921318362825295e-12,5.984291214667812e-25,7.732263836441016e-12,2.110475586495633e-105,4.295968273714405e-12,0.938,6.689265382370549e-54,3.447387656813471e-12,5.809154485772218e-35,3.836437397346192e-15,1.7883665134378783e-10,0.0,0.0,0.031239777958273422,0.009999999998276306,0.04999999999226392,4.150907261730554e-68,1.1930593091108544e-70,0.001999999816871217,4.8711528723045564e-110,1.0772234968876622e-76
2.25807807508678e-14,0.048764219312884285,5.51443904575288e-12,9.879857970240252e-25,9.934239815130329e-12,1.5124893158358883e-104,5.519368017871131e-12,0.938,2.186780681062691e-53,4.429129340968819e-12,1.2144025353519902e-34,4.92897204662612e-15,2.2976470312894264e-10,0.0,0.0,0.031239777901714852,0.009999999997785435,0.04999999999006085,4.264113672356781e-68,4.6122997162736423e-70,0.001999999764720858,3.78579866215958e-109,1.855963076295692e-76
2.7585939137518516e-14,0.048764219312884285,6.736746514243023e-12,1.4747939804301966e-24,1.213621309666416e-11,7.825510566293613e-104,6.742768021053764e-12,0.938,5.700310741205254e-53,5.41087102153127e-12,2.200894171169974e-34,6.021506681618088e-15,2.806924129085505e-10,0.0,0.0,0.031239777845156625,0.009999999997294564,0.04999999998785778,4.296439882116367e-68,1.388212968087121e-69,0.0019999997125708406,2.1239125686527628e-108,2.631360827399145e-76
3.759625591081995e-14,0.048764219312884285,9.18136222825088e-12,2.7403953104812275e-24,1.654015156827882e-11,1.8304137034384234e-102,9.18956880447387e-12,0.938,2.780582055185877e-52,7.374354371886652e-12,5.551312593286214e-34,8.206575899496819e-15,3.825468064604186e-10,0.0,0.0,0.031239777732041212,0.009999999996312821,0.049999999983451664,4.120363434652352e-68,9.885447726587867e-69,0.0019999996082718315,9.492623496705215e-107,4.29864961149095e-76
4.760657268412138e-14,0.048764219312884285,1.1625978978242802e-11,4.395691748583904e-24,2.094407925131174e-11,1.3861041194872014e-101,1.1636370623929183e-11,0.938,9.005289655188833e-52,9.337837707897868e-12,1.126620400740395e-33,1.039164503258968e-14,4.84399832017887e-10,0.0,0.0,0.031239777618927173,0.009999999995331079,0.049999999979045556,5.6683516676905126e-68,4.014479923033262e-68,0.0019999995039741893,8.47661057716331e-106,6.304844248374517e-76
6.762720623072424e-14,0.048764219312884285,1.6515215585927634e-11,8.87719011098092e-24,2.975190225173845e-11,4.0710947739748454e-100,1.6529977370764684e-11,0.938,5.401404690955127e-51,1.3264804336960203e-11,3.2313403290961405e-33,1.4761782971423955e-14,6.881017792230213e-10,0.0,0.0,0.03123977739270322,0.009999999993367596,0.049999999970233355,4.715103898559682e-67,3.632205963621042e-67,0.0019999992953830055,4.200985935402395e-104,2.84866970701787e-75
8.76478397773271e-14,0.048764219312884285,2.1404456336794043e-11,1.4922937101144172e-23,3.8559682098156926e-11,3.5337699473660573e-99,2.1423588261198e-11,0.938,1.9408593928123867e-50,1.719177090886342e-11,7.04085397570083e-33,1.9131920351824114e-14,8.917982546710558e-10,0.0,0.0,0.03123977716648478,0.009999999991404112,0.0499999999614212,2.8041667520229103e-66,1.6429555824740582e-66,0.0019999990867972895,4.2193919591054326e-103,1.6341100856739324e-74
1.0766847332392997e-13,0.048764219312884285,2.6293701230338643e-11,2.2536580103079983e-23,4.736741879077979e-11,1.9958583627335077e-98,2.631720329486695e-11,0.938,5.325103547342899e-50,2.111873742375263e-11,1.3063496190009938e-32,2.3502057027519523e-14,1.095489258509062e-09,0.0,0.0,0.031239776940271843,0.009999999989440629,0.04999999995260909,1.1057661944222912e-65,5.365028678682466e-66,0.00199999887821704,2.6549782067759705e-102,7.242566459111579e-74
1.4770974041713567e-13,0.048764219312884285,3.607220344344847e-11,4.2482146800541034e-23,6.498276271548928e-11,4.270228842548346e-97,3.610444579046267e-11,0.938,2.6467620560459205e-49,2.8972670283069598e-11,3.379468632117297e-32,3.2242327679589414e-14,1.5028548519433745e-09,0.0,0.0,0.031239776487862487,0.009999999985513663,0.049999999934985016,1.0780771342963393e-64,3.7822784776248412e-65,0.001999998461072945,8.961737263446553e-101,1.0462959599960695e-72
2.277922746035471e-13,0.048764219312884285,5.562925755965232e-11,1.0134855818362114e-22,1.0021293272871798e-10,2.7464298787005192e-95,5.56789804845416e-11,0.938,2.4546213040287428e-48,4.4680535323922015e-11,1.2443943483312791e-31,4.972285408974383e-14,2.317520385963894e-09,0.0,0.0,0.03123977558310985,0.00999999997765973,0.04999999989973737,2.6104098627280684e-63,5.960468788351894e-64,0.0019999976268503567,1.1081405043670573e-98,4.634375971775905e-71
3.8795734297636997e-13,0.048764219312884285,9.474356443920966e-11,2.957997629531887e-22,1.706712014580507e-10,4.210384916067383e-93,9.482824860309915e-11,0.938,3.8198990892146133e-47,7.60962627270157e-11,6.198334637708895e-31,8.468381455956604e-14,3.9465888755589025e-09,0.0,0.0,0.03123977377386883,0.009999999961951866,0.049999999829244135,1.2404806031246846e-61,1.761183473679735e-62,0.00199999595866756,3.3796713775653758e-96,4.331783540207938e-69
